,CSCO,INTC,Spread,ZScore
104,54.73,44.46,4.9347999999999885,1.4280371358118806
105,54.935,46.265,3.1181999999999945,0.3712480165018232
106,55.29,46.77,2.907599999999988,0.1714478470030977
107,55.095,47.08,2.365399999999994,-0.26473003136701373
108,55.125,47.02,2.462599999999995,-0.21348399605666551
109,55.29,48.01,1.5187999999999988,-0.8263142354267673
110,53.625,47.89,-0.011800000000008026,-2.015248372044702
111,53.645,51.215,-3.7158000000000087,-3.363312212394184
112,54.11,51.425,-3.486000000000004,-2.5115001018933625
113,54.275,51.105,-2.962600000000002,-1.9213294086695203
114,54.8,51.84,-3.2608000000000104,-1.7780269323762503
115,55.17,51.025,-1.9780000000000015,-1.1504794227163078
116,54.885,49.17,-0.18540000000000845,-0.4306174763390686
117,54.79,47.735,1.3267999999999915,0.16562206281935735
